,0,1,2,3,4,5
1022,"Bán đất xóm Bãi Uy Nỗ Đông Anh S 56m2 .Gía 1,9 tỷ","Huyện Đông Anh, Hà Nội",1 tỷ 900 triệu,56 m2,0 PN,0 WC
1023,"Bán gấp nhà Hoàng Quốc Việt - PL - Vỉa hè - Ô Tô tránh - 60m2, 17 tỷ","Quận Cầu Giấy, Hà Nội",17 tỷ,60 m2,8 PN,5 WC
1024,"Bán nhà ngõ Nguyễn Đình Thi, Tây Hồ.Dt 48m, Mt 3,5m, 4 tầng, giá 9 tỷ","Quận Tây Hồ, Hà Nội",9 tỷ 24 triệu,48 m2,5 PN,6 WC
1025,"Bán nhà Tây Hồ MP Âu Cơ 40m 7tang 17 tỷ có thang máy, nhà mới","Quận Tây Hồ, Hà Nội",17 tỷ,40 m2,6 PN,6 WC
1026,"Bán nhà cách hồ Văn Chương 10m, mt 5m thoáng 3 mặt 45m2x5t giá 5,4 tỷ","Quận Đống Đa, Hà Nội",5 tỷ 300 triệu,45 m2,4 PN,4 WC
1027,Bán Nhà Ngõ 56 Đào Tấn. 44m2 x 6T. Giá: 7.3 tỷ.,"Quận Ba Đình, Hà Nội",7 tỷ 300 triệu,44 m2,4 PN,5 WC
1028,Chung Cư Nguyễn Trãi-Ngã Tư Sở 760tr full nội thất- 1-3 ngủ- duy nhất,"Quận Thanh Xuân, Hà Nội",730 triệu,32 m2,3 PN,1 WC
1029,"47m đất 2 mặt ngõ, chia ô bàn cờ, giá đầu tư 3.18 tỷ","Quận Long Biên, Hà Nội",3 tỷ 180 triệu,47 m2,0 PN,0 WC
1030,"Sở hữu nhà đầu ngõ 285 Đội Cấn, giá 7,3 tỷ, DT 65m2x4T, MT 8m, nở hậu","Quận Ba Đình, Hà Nội",7 tỷ 300 triệu,65 m2,6 PN,6 WC
1031,"Bán nhà Đống Đa, ngõ Quan Thổ 3 giá 1.55 tỷ, 17mx2T. MT 3m","Quận Đống Đa, Hà Nội",1 tỷ 550 triệu,17 m2,1 PN,1 WC
1032,Nhà Đại Mỗ 36M 5 Tầng-4 Phòng-có GARA Ô TÔ đỗ-nội thất mới giá 3.4 tỷ,"Quận Nam Từ Liêm, Hà Nội",3 tỷ 400 triệu,35 m2,4 PN,4 WC
1033,Cần Bán Gấp Căn Hộ Vinhome Ocean Park 1PN,"Huyện Gia Lâm, Hà Nội",1 tỷ 750 triệu,46 m2,1 PN,1 WC
1034,"Phú Thượng Ô TÔ VÀO NHÀ - 69m2 6,1 tỷ - SỔ HOA HẬU - KHU VỰC HÓT 👈","Quận Tây Hồ, Hà Nội",6 tỷ 100 triệu,69 m2,2 PN,1 WC
1035,"Bán nhà riêng ngõ 378 Thuỵ khuê, tây hồ, Hà nội. 40m giá có 4.3 tỷ x 5","Quận Tây Hồ, Hà Nội",4 tỷ 300 triệu,40 m2,4 PN,4 WC
1036,"Bán nhà Trần Quốc Hoàn, Phân Lô, Gara, 6 tầng, Thang máy, 15,6 tỷ","Quận Cầu Giấy, Hà Nội",15 tỷ 600 triệu,50 m2,6 PN,6 WC
1037,Bán nhà Tây Hồ ngõ 28 Tứ Liên 110M 4tang MT7.5m giá 16 tỷ ô tô đỗ,"Quận Tây Hồ, Hà Nội",16 tỷ,110 m2,6 PN,4 WC
1038,"Bán nhà Minh Khai gần TimeCity cách phố chỉ 20m 43m2x5T giá 5,3 tỷ","Quận Hai Bà Trưng, Hà Nội",5 tỷ 300 triệu,43 m2,3 PN,4 WC
1039,Bán Đất Phú Đô. 44m. MT: 4.4m. Giá: 3.3 tỷ.,"Quận Nam Từ Liêm, Hà Nội",3 tỷ 300 triệu,40 m2,0 PN,0 WC
1040,MỞ BÁN!! Chung cư Quan Nhân- Nguyễn Trãi- THANH XUÂN- 1-3p ngủ 660tr,"Quận Thanh Xuân, Hà Nội",750 triệu,54 m2,3 PN,2 WC
1041,"Nhà 5 tầng khu đấu giá Việt Hưng, Đoàn Khuê không thể víp hơn 18 tỷ","Quận Long Biên, Hà Nội",18 tỷ,75 m2,4 PN,6 WC
1042,"Bán gấp nhà phố Khương Đình giá 5.5 tỷ, 46mx5T, đẹp ở ngay","Quận Thanh Xuân, Hà Nội",5 tỷ 500 triệu,46 m2,6 PN,6 WC
1043,Nhà Đại Mỗ-Mặt Ngõ 35M 4 Tầng-3P Ngủ-Ngõ 3M Thông Thoáng giá 2.6 tỷ,"Quận Nam Từ Liêm, Hà Nội",2 tỷ 600 triệu,35 m2,3 PN,3 WC
1044,"AN Dương ô tô tránh nhà chui vào nhà 58m2 8,5ty nhà tự thiết kế","Quận Tây Hồ, Hà Nội",8 tỷ 500 triệu,58 m2,4 PN,3 WC
1045,"Bán nhà mặt phố Thuỵ Khuê Tây hồ, hà nội. 178m x 7 tầng mt 9.5m giá 51","Quận Tây Hồ, Hà Nội",51 tỷ 980 triệu,178 m2,6 PN,6 WC
1046,"Bán nhà 2 tầng ngõ 27 Long Biên 1 cạnh Hồ .Gía 2,45 tỷ","Quận Long Biên, Hà Nội",2 tỷ 450 triệu,30 m2,2 PN,1 WC
1047,"Bán nhà Hoàng Quốc Việt , mặt tiền 6m , Gara , ô chờ thang máy, 12 tỷ","Quận Cầu Giấy, Hà Nội",12 tỷ,60 m2,6 PN,6 WC
1048,Bán nhà Tây Hồ ngõ 445 Lạc Long Quân 30m 6tang MT4.3m ngõ ô tô - 6 tỷ,"Quận Tây Hồ, Hà Nội",6 tỷ,30 m2,4 PN,4 WC
1049,"Bán nhà ngõ 15 Phương Mai ô tô gần ngõ rộng thoáng 36m2x5T giá 4,68 tỷ","Quận Đống Đa, Hà Nội",4 tỷ 680 triệu,36 m2,3 PN,4 WC
1050,Giá rẻ! Bán Chung Cư c2 Đường Ven Hồ Tây- từ 700tr,"Quận Tây Hồ, Hà Nội",850 triệu,56 m2,2 PN,1 WC
1051,Nhà Ecohouse Sài Đồng 5T thiết kế Châu Âu khu siêu víp 12.8 tỷ,"Quận Long Biên, Hà Nội",12 tỷ 800 triệu,74 m2,4 PN,6 WC
1052,"Khu Phân lô Kim Mã Thượng giá 7.3 tỷ, 40mx6 tầng, Oto tránh","Quận Ba Đình, Hà Nội",7 tỷ 300 triệu,40 m2,3 PN,4 WC
1053,"Đất Vân CAnh, Mặt Ngõ 55M MẶt Tiền 5M,Vuông Vắn, NGõ rộng, ôtô đỗ gần","Huyện Hoài Đức, Hà Nội",2 tỷ 650 triệu,55 m2,0 PN,0 WC
1054,"NHỎ NHỎ - XINH XINH - YÊU YÊU 2,7 tỷ có nhà an dương mới kính koong","Quận Tây Hồ, Hà Nội",2 tỷ 700 triệu,24 m2,2 PN,2 WC
1055,"- Bán nhà phố Thuỵ khuê- Tây hồ, hà nội,kinh doanh giá 23.480 tỷ x 83m","Quận Tây Hồ, Hà Nội",23 tỷ 480 triệu,83 m2,5 PN,5 WC
1056,"Bán nhà ngõ phố Nguyễn Văn Cừ ,Long Biên HN ,giá 2,85 tỷ","Quận Long Biên, Hà Nội",2 tỷ 850 triệu,29 m2,2 PN,3 WC
1057,"Phân Lô VIP - Hoàng Quốc Việt - 2 Mặt Ngõ Ô TÔ - Sát Phố Lớn - 12,5 tỷ","Quận Cầu Giấy, Hà Nội",12 tỷ 500 triệu,55 m2,5 PN,5 WC
1058,Bán nhà Tây Hồ MP Nghi Tàm bên lẻ 13m 3 tầng MT4m - giá 6 tỷ KD tốt,"Quận Tây Hồ, Hà Nội",6 tỷ,16 m2,2 PN,2 WC
1059,Bán nhà PL ngõ 156 Lạc Trung ô tô vào nhà 46m2x6T thang máy giá 9 tỷ,"Quận Hai Bà Trưng, Hà Nội",9 tỷ,46 m2,5 PN,5 WC
1060,Quận Cầu Giấy. Lô Góc Nhà mới 6T thang máy. 50m. MT: 4.6m.Giá: 13.5 tỷ,"Quận Cầu Giấy, Hà Nội",13 tỷ 500 triệu,50 m2,4 PN,6 WC
1061,Nhà 4T Nguyễn Văn Linh cách đường to 20m 3.39 tỷ,"Quận Long Biên, Hà Nội",3 tỷ 390 triệu,40 m2,3 PN,4 WC
1062,"Bán gấp nhà Mặt ngõ Thái Thịnh 1 giá 9 tỷ, 55m2x4T, kinh doanh sầm uất","Quận Đống Đa, Hà Nội",9 tỷ,55 m2,4 PN,3 WC
1063,"Nhà Vân Canh Xây Mới 38M 5 Tầng-có nội thất,Ngõ rộng,gần ô tô 2.65 tỷ","Huyện Hoài Đức, Hà Nội",2 tỷ 650 triệu,38 m2,34 PN,4 WC
1064,"TÂY HỒ - NHÀ ĐẸP Ở NGAY 5,65ty 42m2 x 5T mặt tiền khủng 6m.","Quận Tây Hồ, Hà Nội",5 tỷ 650 triệu,42 m2,4 PN,3 WC
1065,"Bán nhà ngõ 562 phố Thuỵ khuê, tây hồ, hà nội: 30m giá chỉ 2.65 tỷ, mt","Quận Tây Hồ, Hà Nội",2 tỷ 650 triệu,30 m2,2 PN,2 WC
1066,"Bán nhà mặt phố Nguyễn Văn Cừ , thu nhập cho thuê 20 triệu / tháng","Quận Long Biên, Hà Nội",15 tỷ,60 m2,4 PN,5 WC
1067,"Bán nhà Hoàng Quốc Việt - Lô Góc - Vỉa Hè - KD Bất Chấp - 13,5 tỷ","Quận Cầu Giấy, Hà Nội",13 tỷ 500 triệu,60 m2,5 PN,5 WC
1068,Bán CHCC Hoa Đào 713 Lạc Long Quân Tầng 9 80m 2N 2VS full đồ 2.6 tỷ,"Quận Tây Hồ, Hà Nội",2 tỷ 600 triệu,80 m2,2 PN,2 WC
1069,"Bán nhà ngõ 72 Tôn Thất Tùng cách phố 70m có sân 35m2x5T giá 3,95 tỷ","Quận Đống Đa, Hà Nội",3 tỷ 950 triệu,35 m2,6 PN,4 WC
1070,"Đất Mặt Đường Phú Minh. 2 oto Tránh, vỉa hè. KD. 70m2. Giá: 110 tr/1m","Quận Bắc Từ Liêm, Hà Nội",7 tỷ 700 triệu,70 m2,0 PN,0 WC
1071,"246 m đất PL. Gia Quất, MT rộng 18m, ô tô, KĐT Khai Sơn 11.9 tỷ","Quận Long Biên, Hà Nội",11 tỷ 900 triệu,246 m2,0 PN,0 WC
1072,Mặt Hồ Tây- Trích Sài- Võng Thị- CHủ đầu tư bán chung cư mini từ 700tr,"Quận Tây Hồ, Hà Nội",690 triệu,35 m2,1 PN,1 WC
1073,"Bán gấp nhà ngõ 144 Quan Nhân giá 7.5 tỷ, DT 52mx5 tầng, MT 4m","Quận Thanh Xuân, Hà Nội",7 tỷ 500 triệu,52 m2,3 PN,3 WC
1074,Nhà Vân Canh Xây Mới 40M 4 Tầng-4P Ngủ-Ngõ 3M thông thoáng giá 2.28tỷ,"Huyện Hoài Đức, Hà Nội",2 tỷ 280 triệu,40 m2,4 PN,3 WC
1075,"Bán đất tặng nhà C4 3,8 tỷ 135m2 khu vực sát dự án cầu tứ liên","Quận Tây Hồ, Hà Nội",3 tỷ 800 triệu,135 m2,1 PN,1 WC
1076,"Bán nhà ngõ 207 xuân đỉnh, bắc từ liêm, hà nội. 111m giá 10.5 tỷ, mặt","Quận Bắc Từ Liêm, Hà Nội",10 tỷ 500 triệu,111 m2,4 PN,4 WC
1077,"Bán đất 161 m2 thôn 4 xã Vạn Phúc ,Thanh Trì .Gía 6,44 tỷ","Huyện Thanh Trì, Hà Nội",6 tỷ 440 triệu,161 m2,0 PN,0 WC
1078,"246 m đất PL. Gia Quất, MT rộng 18m, ô tô, KĐT Khai Sơn 11.9 tỷ","Quận Long Biên, Hà Nội",11 tỷ 900 triệu,246 m2,0 PN,0 WC
1079,Mặt Hồ Tây- Trích Sài- Võng Thị- CHủ đầu tư bán chung cư mini từ 700tr,"Quận Tây Hồ, Hà Nội",690 triệu,35 m2,1 PN,1 WC
1080,"Bán gấp nhà ngõ 144 Quan Nhân giá 7.5 tỷ, DT 52mx5 tầng, MT 4m","Quận Thanh Xuân, Hà Nội",7 tỷ 500 triệu,52 m2,3 PN,3 WC
1081,Nhà Vân Canh Xây Mới 40M 4 Tầng-4P Ngủ-Ngõ 3M thông thoáng giá 2.28tỷ,"Huyện Hoài Đức, Hà Nội",2 tỷ 280 triệu,40 m2,4 PN,3 WC
1082,"Bán đất tặng nhà C4 3,8 tỷ 135m2 khu vực sát dự án cầu tứ liên","Quận Tây Hồ, Hà Nội",3 tỷ 800 triệu,135 m2,1 PN,1 WC
1083,"Bán nhà ngõ 207 xuân đỉnh, bắc từ liêm, hà nội. 111m giá 10.5 tỷ, mặt","Quận Bắc Từ Liêm, Hà Nội",10 tỷ 500 triệu,111 m2,4 PN,4 WC
1084,"Bán đất 161 m2 thôn 4 xã Vạn Phúc ,Thanh Trì .Gía 6,44 tỷ","Huyện Thanh Trì, Hà Nội",6 tỷ 440 triệu,161 m2,0 PN,0 WC
1085,"Bán nhà Phân Lô - Trần Quốc Hoàn , Kd Văn Phòng - Ô tô tránh - 8,9 tỷ","Quận Cầu Giấy, Hà Nội",8 tỷ 900 triệu,40 m2,5 PN,5 WC
1086,"Bán nhà Tây Hồ ngõ 126 An Dương Vương 50m Cấp4 MT5m, ngõ 2m, 3 tỷ","Quận Tây Hồ, Hà Nội",3 tỷ,50 m2,1 PN,1 WC
1087,Bán nhà Phố Minh Khai HBT 40m2x5T thoáng 2 mặt ô tô vào nhà giá 5 tỷ,"Quận Hai Bà Trưng, Hà Nội",5 tỷ,40 m2,3 PN,4 WC
1088,Bán Đất TĐC Kiều Mai. PL bàn cờ - đường 3 oto Tránh. 140m2. MT: 12m.,"Quận Bắc Từ Liêm, Hà Nội",17 tỷ 500 triệu,140 m2,0 PN,0 WC
1089,Shophouse 5 tầng Dự Án LGS Lotus Sài Đồng 82m chỉ 17 tỷ,"Quận Long Biên, Hà Nội",17 tỷ,82 m2,5 PN,5 WC
1090,Chung cư mini Tây Hồ- Lạc Long Quân- full đồ- từ 700tr,"Quận Tây Hồ, Hà Nội",800 triệu,60 m2,2 PN,1 WC
1091,"Cần bán nhanh Mặt ngõ Bạch Mai giá 6.5 tỷ, 52mx4 tầng, Đẹp ở luôn","Quận Hai Bà Trưng, Hà Nội",6 tỷ 500 triệu,52 m2,2 PN,3 WC
1092,Bán Gấp Căn Hộ 2 Phòng Ngủ VinHomes Ocean Park Gia Lâm,"Huyện Gia Lâm, Hà Nội",2 tỷ 700 triệu,69 m2,2 PN,2 WC
1093,"Bán gấp nhà An Dương Tây Hồ 45m2 mặt tiền 10,5m 12 tỷ kinh doanh lớn.","Quận Tây Hồ, Hà Nội",12 tỷ,45 m2,5 PN,5 WC
1094,BÁN NHÀ TRÍCH SÀI HỒ TÂY NGÕ 414 TRÍCH SÀI DIên tích 40 m x 3 tầng mặt,"Quận Tây Hồ, Hà Nội",2 tỷ 400 triệu,40 m2,3 PN,3 WC
1095,"Phân Lô Trần Quốc Hoàn, Ô Tô Tránh - Sát Phố- Gara - KD Văn Phòng","Quận Cầu Giấy, Hà Nội",11 tỷ,50 m2,5 PN,5 WC
1096,"Bán gấp nhà Trung Hòa, Cầu Giấy, diện tích 60m2, xây 5 tầng, Giá 10 tỷ","Quận Cầu Giấy, Hà Nội",10 tỷ,60 m2,5 PN,5 WC
1097,"Bán nhà Tây Hồ, mặt phố Thụy Khuê 6.2 tỷ, 30m2, KD tốt, sổ vuông","Quận Tây Hồ, Hà Nội",6 tỷ 200 triệu,30 m2,3 PN,3 WC
1098,"Bán nhà ngõ 164 Đê La Thành ngõ nông 36m2x5T cách phố 80m giá 3,8 tỷ","Quận Đống Đa, Hà Nội",3 tỷ 800 triệu,36 m2,3 PN,4 WC
1099,Ngõ 57 Mễ Trì Hạ.Lô Góc. 35mx5T. MT: 3.8m. Giá: 3.6 tỷ,"Quận Nam Từ Liêm, Hà Nội",3 tỷ 600 triệu,35 m2,3 PN,4 WC
1100,"5 tầng nhà đẹp, ô tô. An sinh đỉnh Ngọc Thụy. Nhỉnh 5 tỷ","Quận Long Biên, Hà Nội",5 tỷ,40 m2,3 PN,4 WC
1101,"GIÁ TỐT!! Bán căn hộ TRÍCH Sài_Thụy Khuê-Q,Tây Hồ- từ 700tr","Quận Tây Hồ, Hà Nội",700 triệu,55 m2,2 PN,1 WC
1102,"Bán nhà riêng, ngõ 121 Kim Ngưu giá 3.59 tỷ, 32mx5 tầng, có sổ","Quận Hai Bà Trưng, Hà Nội",3 tỷ 590 triệu,32 m2,3 PN,3 WC
1103,Nhà Cấp 4 mặt ngõ Đại Mỗ 45M2-2P Ngủ-gần đường lớn-có nội thất 2.3 tỷ,"Quận Nam Từ Liêm, Hà Nội",2 tỷ 300 triệu,45 m2,2 PN,1 WC
1104,Bán gấp mảnh đất xuân la tây hồ 65m2 mặt tiền 4m 13 tỷ phân lô q/đội,"Quận Tây Hồ, Hà Nội",13 tỷ,65 m2,0 PN,0 WC
1105,"Cần bán nhà gấp Văn chương, đống đa dt 36m x 5 tầng , mt 3.3m","Quận Đống Đa, Hà Nội",2 tỷ 250 triệu,36 m2,4 PN,4 WC
1106,"Bán nhà Phạm Tuấn Tài , Vỉa gè , đường tựa phố, MT 5m , Gara 2 oto","Quận Cầu Giấy, Hà Nội",14 tỷ 850 triệu,55 m2,6 PN,5 WC
1107,"Bán nhà Tây Hồ ngõ 2 An Dương Vương, 6.3 tỷ, 85m2, MT4,7m ô tô vào","Quận Tây Hồ, Hà Nội",6 tỷ 300 triệu,85 m2,4 PN,4 WC
1108,"Bán nhà Xã Đàn DD ngõ nông 36m2x5T mới tinh cách phố 80m giá 3,8 tỷ","Quận Đống Đa, Hà Nội",3 tỷ 800 triệu,36 m2,3 PN,4 WC
1109,"Nhà Đẹp Phố Lê Đức Thọ, PL. 55mx6T Thang Máy. MT: 6m.Giá: 13 tỷ.","Quận Nam Từ Liêm, Hà Nội",13 tỷ,55 m2,4 PN,8 WC
1110,56m Đất Thạch Bàn tiện ích full đẹp chỉ 3.x tỷ,"Quận Long Biên, Hà Nội",3 tỷ,56 m2,0 PN,0 WC
1111,"DỰ ÁN! Bán chung Cư 7,2ha HOÀNG HOA THÁM_BA ĐÌNH--","Quận Ba Đình, Hà Nội",770 triệu,44 m2,2 PN,1 WC
1112,"Bán gấp Mặt ngõ Phố Yên Hòa 6.5 tỷ, 55mx5T, Mới đẹp, hiện đại","Quận Cầu Giấy, Hà Nội",6 tỷ 500 triệu,55 m2,6 PN,4 WC
1113,"Nhà KIM CHUNG Gần QL32- Xây mới 5 Tâng-4 phòng,Ngõ rông thoáng 2.28 tỷ","Huyện Hoài Đức, Hà Nội",2 tỷ 280 triệu,32 m2,4 PN,4 WC
1114,Bán Gấp Căn Hộ 1 Phòng Ngủ Vinhomes Ocean Park Giá bán 1.48 tỷ,"Huyện Gia Lâm, Hà Nội",1 tỷ 480 triệu,46 m2,1 PN,1 WC
1115,Bán nhà Đảo nhỏ Vũ Miên Tây Hồ 13 tỷ 40m2 x 7T,"Quận Tây Hồ, Hà Nội",13 tỷ,40 m2,6 PN,5 WC
1116,Bán nhà cấp 4 đang cho thuê: 40m giá 3.85 tỷ x mt 5.8m Tân xuân bắc từ,"Quận Bắc Từ Liêm, Hà Nội",3 tỷ 850 triệu,40 m2,1 PN,1 WC
1117,"Bán nhà Hoàng Quốc Việt,7 chỗ đỗ cửa,DT 100m2 ,tiện xây Apartmen 15 ty","Quận Cầu Giấy, Hà Nội",13 tỷ 500 triệu,100 m2,20 PN,20 WC
1118,"Bán nhà Tây Hồ ngõ 32 An Dương 14.8 tỷ, 68m2, MT 6,2m, ngõ ô tô","Quận Tây Hồ, Hà Nội",14 tỷ 800 triệu,68 m2,2 PN,2 WC
1119,"Bán tập thể C11 Quỳnh Mai 3 mặt thoáng 2 ngủ 1 vệ sinh giá 1,29 tỷ","Quận Hai Bà Trưng, Hà Nội",1 tỷ 290 triệu,55 m2,2 PN,1 WC
1120,"Biệt thự liền kế 7 tầng, căn duy nhất 114m chỉ hơn 30 tỷ","Quận Long Biên, Hà Nội",30 tỷ,114 m2,6 PN,6 WC
1121,"CHUNG CƯ ĐỘI CẤN_HOÀNG HOA THÁM,đủ nội thất, 690t","Quận Ba Đình, Hà Nội",690 triệu,45 m2,2 PN,1 WC
1122,"Nhà đẹp khu PL đường 800A Nghĩa Đô giá 6.2 tỷ, 40mx5T, oto tránh","Quận Cầu Giấy, Hà Nội",6 tỷ 200 triệu,40 m2,4 PN,3 WC
1123,"Đất Vân Canh-Hoài Đức 38M Mặt tiền 3,8M,Vuông Vắn,ô tô đỗ gần 1.9 tỷ","Huyện Hoài Đức, Hà Nội",1 tỷ 900 triệu,38 m2,0 PN,0 WC
1124,Bán Căn Hộ Studio Vinhome Ocean Park,"Huyện Gia Lâm, Hà Nội",950 triệu,46 m2,1 PN,1 WC
1125,"Bán gấp nhà phan đình giót thanh xuân 20m2 3,1 tỷ ngõ ba gác chạy đua.","Quận Thanh Xuân, Hà Nội",3 tỷ 100 triệu,20 m2,3 PN,4 WC
1126,"Bán đất tứ liên tây hồ, hà nội. Ngõ ô tô, 160mx mt 9m giá 23.22 tỷ","Quận Tây Hồ, Hà Nội",23 tỷ 220 triệu,160 m2,0 PN,0 WC
1127,"Bán nhà Hoàng Quốc Việt , đường 2 làn tựa phố , vỉa hè , KD đa hệ","Quận Cầu Giấy, Hà Nội",20 tỷ,65 m2,4 PN,4 WC
1128,"Bán gấp nhà Mặt phố Âu Cơ giá 15 tỷ, dt 68mx4 tầng, Kinh doanh lớn","Quận Tây Hồ, Hà Nội",15 tỷ,66 m2,6 PN,4 WC
1129,"Bán nhà ngõ 72 Tôn Thất Tùng cách phố 50m 35m2x5T giá 3,95 tỷ","Quận Đống Đa, Hà Nội",3 tỷ 950 triệu,35 m2,4 PN,4 WC
1130,Bán Đất Xuân Phương. Mặt Ngõ Thông oto Tránh. 40m. MT: 3.5m. Giá: 3 tỷ,"Quận Nam Từ Liêm, Hà Nội",3 tỷ,40 m2,0 PN,0 WC
1131,"5 Tầng Mặt Phố Long Biên 2, lô góc, kinh doanh, cho thuê 10.9 tỷ","Quận Long Biên, Hà Nội",10 tỷ 900 triệu,50 m2,4 PN,4 WC
1132,"Chung cư cao cấp BÌNH AN - HOÀNG HOA THÁM - VĨNH PHÚC,full nội thất, ở","Quận Ba Đình, Hà Nội",940 triệu,44 m2,2 PN,1 WC
1133,"Bán nhà ngõ 69B Hoàng Văn Thái giá 4.6 tỷ, 40mx4 tầng, đẹp ở luôn","Quận Thanh Xuân, Hà Nội",4 tỷ 600 triệu,40 m2,5 PN,4 WC
1134,Bán Căn Hộ Vinhomes Ocean Park 2 Phòng Ngủ,"Huyện Gia Lâm, Hà Nội",1 tỷ 750 triệu,60 m2,2 PN,1 WC
1135,Bán nhà mặt phố thụy khuê Tây Hồ 41m2 13 tỷ kinh doanh đỉnh cao.,"Quận Tây Hồ, Hà Nội",13 tỷ,41 m2,4 PN,5 WC
1136,"Bán nhà mặt phố xuân diệu, tây hồ, hà nội. 220m giá 219.9 tỷ view hồ","Quận Tây Hồ, Hà Nội",219 tỷ 900 triệu,220 m2,40 PN,40 WC
1137,"Bán tòa Apatment 9 tầng , , thang máy nhập ,Gara 2 oto Hoàng Quốc Việt","Quận Cầu Giấy, Hà Nội",21 tỷ,90 m2,20 PN,20 WC
1138,"Bán nhà Tây Hồ ngõ 28 Xuân La giá 15 tỷ, 150m2, MT 9m, căn góc","Quận Tây Hồ, Hà Nội",15 tỷ,112 m2,1 PN,1 WC
1139,"Bán nhà PL Yên Lạc ngõ thông ô tô cách nhà 20m 35m2x5T giá 4,67 tỷ","Quận Hai Bà Trưng, Hà Nội",4 tỷ 670 triệu,35 m2,3 PN,4 WC
1140,"Bán Đất. Phố Thanh Hà, Nam Sơn, Sóc Sơn. HN. 564m2. MT: 30m. 11tr/1m","Huyện Sóc Sơn, Hà Nội",6 tỷ 200 triệu,564 m2,0 PN,0 WC
1141,"Nhà 5T Bát Khối, ô tô, kinh doanh, full nội thất, P. khúc hiếm 3.6 tỷ","Quận Long Biên, Hà Nội",3 tỷ 600 triệu,41 m2,4 PN,4 WC
1142,"4.5 tỷ! Nhà cực đẹp Bùi Xương Trạch, 36m2, ôtô, tặng full nội thất","Quận Thanh Xuân, Hà Nội",4 tỷ 500 triệu,36 m2,3 PN,4 WC
1143,"Bán chung cư mini quận Đống Đa, nhiều vị trí, đa dạng 550tr-1ty1","Quận Đống Đa, Hà Nội",670 triệu,33 m2,2 PN,1 WC
1144,"Bán nhà mặt phố Chính Kinh giá 7.7 tỷ, 40mx4 tầng, kinh doanh tốt","Quận Thanh Xuân, Hà Nội",7 tỷ 700 triệu,40 m2,4 PN,3 WC
1145,Nhà ĐẸP! Kim Chung 35M 4 Tầng-3 phòng-gần đường lớn-full đồ chỉ 2.25ty,"Huyện Hoài Đức, Hà Nội",2 tỷ 250 triệu,35 m2,3 PN,3 WC
1146,Cho Thuê Căn Hộ Vinhome Ocean Park 1 Phòng Ngủ,"Huyện Gia Lâm, Hà Nội",6 triệu,46 m2,1 PN,1 WC
1147,"Bán nhà mặt phố thụy khuê 51m2 13,6 tỷ kinh doanh đỉnh cao","Quận Tây Hồ, Hà Nội",13 tỷ 600 triệu,51 m2,3 PN,3 WC
1148,"Bán nhà Hoàng Quốc Việt , Gara 2 oto , mặt tiền 6m ,thang máy ,","Quận Cầu Giấy, Hà Nội",11 tỷ 750 triệu,70 m2,4 PN,4 WC
1149,"Bán nhà Tây Hồ, ngõ 9 Đặng Thai Mai giá 16 tỷ, 70mx4T, MT 10m","Quận Tây Hồ, Hà Nội",16 tỷ,70 m2,4 PN,4 WC
1150,"Tòa nhà Căn hộ dịch vụ Chợ Khâm Thiên 86m2x8t 35 phòng giá 11,2 tỷ","Quận Đống Đa, Hà Nội",11 tỷ 200 triệu,86 m2,35 PN,35 WC
1151,Bán Toà Nhà Văn Phòng PL Hoàng Quốc Việt 50mx6T. Thang máy MT: 4.5m.,"Quận Cầu Giấy, Hà Nội",16 tỷ 200 triệu,55 m2,4 PN,6 WC
1152,"Nhà đẹp ở luôn 2 tầng móng 4 tầng Nguyễn Văn Linh, ngõ rộng, 3.2 tỷ","Quận Long Biên, Hà Nội",3 tỷ 200 triệu,37 m2,2 PN,2 WC
1153,"7.5 tỷ! Bán gấp nhà Hoàng Đạo Thành, 58m2, Mt 6m, ô tô, p.lô, nhà đẹp","Quận Thanh Xuân, Hà Nội",7 tỷ 500 triệu,58 m2,3 PN,3 WC
1154,chung cư XÃ Đàn- Khâm Thiên- ở ngay 660tr- full đồ,"Quận Đống Đa, Hà Nội",660 triệu,44 m2,2 PN,2 WC
1155,"Bán nhà Mặt phố Nguyễn Lương Bằng giá 12,5 tỷ, 44mx3T, MT 5m","Quận Đống Đa, Hà Nội",12 tỷ 500 triệu,45 m2,3 PN,3 WC
1156,"Đất Đẹp Xuân Phương 45M Mặt Tiền 5M,Lô Góc 2 Thoáng-Ngõ 3M giá 2.45tỷ","Quận Nam Từ Liêm, Hà Nội",2 tỷ 450 triệu,45 m2,0 PN,0 WC
1157,Cần Bán Căn Hộ Vinhomes Ocean Park 2 Phòng Ngủ,"Huyện Gia Lâm, Hà Nội",1 tỷ 790 triệu,60 m2,2 PN,1 WC
1158,Bán Đất tặng nhà C4 tứ liên tây hồ S = 123m2 16tỷ ô tô đỗ cửa.,"Quận Tây Hồ, Hà Nội",16 tỷ,123 m2,0 PN,0 WC
1159,"Bán nhà riêng lạc long quân tây hồ, hà nội 46m, ô tô vào tận nhà","Quận Tây Hồ, Hà Nội",26 tỷ,130 m2,5 PN,5 WC
1160,"Bán tòa Apartment 9 tầng Tây Hồ, thang máy , Gara 4 oto , 1.5 tỷ /năm","Quận Tây Hồ, Hà Nội",20 triệu,100 m2,20 PN,20 WC
